"t_ms","private_mb","working_mb"
"83771","65.3","80.4"
"83989","65.3","80.4"
"84200","65.3","80.4"
"84412","65.3","80.4"
"84627","65.3","80.4"
"84846","65.6","80.5"
"85068","65.6","80.5"
"85279","65.5","80.5"
"85496","65.5","80.5"
"85715","67.2","82.3"
"85923","67.2","82.3"
"86133","67.2","82.3"
"86346","67.2","82.3"
"86557","67.2","82.3"
"86766","67.2","82.3"
"86976","67.2","82.3"
"87195","67.2","82.3"
"87410","67.4","82.5"
"87619","67.5","82.5"
"87838","67.5","82.5"
"88050","67.5","82.5"
"88257","69.3","84.3"
"88474","69.3","84.3"
"88690","69.3","84.3"
"88912","69.3","84.3"
"89134","69.3","84.3"
"89340","69.3","84.3"
"89546","69.3","84.3"
"89764","69.3","84.3"
"89981","69.3","84.3"
"90187","69.5","84.5"
"90396","69.6","84.5"
"90616","69.5","84.5"
"90837","69.5","84.5"
"91055","71.2","86.1"
"91283","71.2","86.1"
"91503","71.2","86.1"
"91710","71.2","86.1"
"91931","71.2","86.1"
"92152","71.2","86.2"
"92373","71.2","86.2"
"92581","71.2","86.2"
"92800","71.2","86.2"
"93019","71.4","86.4"
"93236","71.5","86.4"
"93450","71.4","86.4"
"93669","71.4","86.4"
"93889","73.2","88"
"94110","73.2","88"
"94319","73.2","88"
"94537","73.2","88"
"94745","73.2","88.1"
"94964","73.2","88"
"95184","73.2","88.1"
"95404","73.2","88.1"
"95632","73.4","88.3"
"95851","73.4","88.3"
"96060","73.4","88.3"
"96274","73.4","88.3"
"96494","75.1","89.9"
"96700","75.1","89.9"
"96906","75.1","89.9"
"97125","75.1","89.9"
"97335","75.1","89.9"
"97556","75.1","89.9"
"97766","75.1","89.9"
"97983","75.1","89.9"
"98194","75.1","89.9"
"98411","75.3","90.1"
"98628","75.4","90.1"
"98847","75.3","90.1"
"99068","75.3","90.1"
"99289","77","91.8"
"99508","77","91.8"
"99715","77","91.8"
"99923","77","91.8"
"100145","77","91.8"
"100352","77","91.8"
"100572","77","91.8"
"100790","77","91.8"
"101007","77.2","92"
"101228","77.3","92"
"101448","77.3","92"
"101665","77.2","92"
"101873","79.1","93.8"
"102094","79.1","93.8"
"102313","79.1","93.8"
"102530","79.1","93.8"
"102749","79.1","93.8"
"102957","79.1","93.8"
"103179","79.1","93.8"
"103399","79.1","93.8"
"103609","79.1","93.8"
"103829","79.3","94"
"104040","79.4","94"
"104259","79.4","94"
"104466","79.3","94"
"104687","81","95.7"
"104902","81","95.7"
"105109","81","95.7"
"105316","81","95.6"
"105538","81","95.7"
"105746","81","95.7"
"105959","81","95.7"
"106166","81","95.7"
"106385","81","95.7"
"106598","81.3","95.9"
"106817","81.3","95.9"
"107035","81.3","95.9"
"107244","81.3","95.9"
"107455","83","97.5"
"107671","83","97.5"
"107876","83","97.5"
"108093","83","97.5"
"108300","83","97.6"
"108520","83","97.6"
"108739","83","97.6"
"108961","83","97.6"
"109180","83.2","97.8"
"109398","83.2","97.8"
"109610","83.2","97.8"
"109830","83.2","97.8"
"110048","84.9","99.4"
"110261","84.9","99.4"
"110470","84.9","99.4"
"110690","84.9","99.4"
"110911","84.9","99.5"
"111129","84.9","99.5"
"111345","84.9","99.5"
"111561","84.9","99.5"
"111770","84.9","99.5"
"111977","85.1","99.7"
"112198","85.2","99.7"
"112415","85.1","99.7"
"112633","85.1","99.7"
"112853","87","101.5"
"113071","87","101.5"
"113290","87","101.5"
"113509","87","101.4"
"113729","87","101.5"
"113948","87","101.5"
"114155","87","101.5"
"114374","87","101.5"
"114592","87.2","101.7"
"114799","87.3","101.7"
"115017","87.3","101.7"
"115225","87.2","101.7"
"115433","87.2","101.7"
"115649","88.9","103.3"
"115869","88.9","103.3"
"116088","88.9","103.3"
"116296","88.9","103.3"
"116504","88.9","103.4"
"116724","88.9","103.3"
"116942","88.9","103.4"
"117162","88.9","103.4"
"117370","89.1","103.6"
"117590","89.1","103.6"
"117798","89.1","103.6"
"118015","89.1","103.6"
"118237","90.8","105.2"
"118455","90.8","105.2"
"118665","90.8","105.2"
"118877","90.8","105.2"
"119095","90.8","105.2"
"119314","90.8","105.2"
"119532","90.8","105.2"
"119737","90.8","105.2"
"119953","90.8","105.2"
"120174","91.1","105.4"
"120394","91.1","105.4"
"120604","91.1","105.4"
"120811","91.1","105.4"
"121028","92.8","107.1"
"121249","92.8","107.1"
"121468","92.8","107.1"
"121680","92.8","107.1"
"121891","92.8","107"
"122110","92.8","107.1"
"122329","92.8","107.1"
"122543","92.8","107.1"
"122761","92.8","107.1"
"122981","93","107.3"
"123202","93.1","107.3"
"123419","93.1","107.3"
"123638","93","107.3"
"123847","94.8","109.1"
"124067","94.8","109.1"
"124291","94.8","109.1"
"124512","94.8","109.1"
"124720","94.8","109.1"
"124939","94.8","109.1"
"125163","94.8","109.1"
"125379","94.8","109.1"
"125601","95.1","109.3"
"125820","95.1","109.3"
"126030","95.1","109.3"
"126251","95.1","109.3"
"126469","96.8","111"
"126676","96.8","111"
"126895","96.8","111"
"127113","96.8","110.9"
"127331","96.8","111"
"127538","96.8","111"
"127747","96.8","111"
"127953","96.8","111"
"128170","96.8","111"
"128377","97.1","111.2"
"128585","97.1","111.2"
"128806","97","111.2"
"129025","97","111.2"
"129232","98.7","112.8"
"129451","98.7","112.8"
"129670","98.7","112.8"
"129895","98.7","112.8"
"130112","98.7","112.9"
"130330","98.7","112.8"
"130553","98.7","112.9"
"130759","98.7","112.9"
"130979","98.9","113.1"
"131186","99","113.1"
"131408","99","113.1"
"131618","98.9","113.1"
"131838","100.8","114.9"
"132057","100.8","114.9"
"132273","100.8","114.9"
"132494","100.8","114.9"
"132714","100.8","114.9"
"132932","100.8","114.9"
"133149","100.8","114.9"
"133365","100.8","114.9"
"133576","101","115.1"
"133794","101.1","115.1"
"134003","101.1","115.1"
"134221","101.1","115.1"
"134444","102.8","116.8"
"134654","102.7","116.8"
"134862","102.7","116.8"
"135081","102.7","116.8"
"135304","102.7","116.7"
"135524","102.7","116.8"
"135742","102.7","116.8"
"135955","102.7","116.8"
"136173","102.7","116.8"
"136391","102.9","117"
"136619","102.9","117"
"136834","102.9","117"
"137042","102.9","117"
"137262","104.7","118.6"
"137481","104.7","118.6"
"137700","104.7","118.6"
"137911","104.7","118.6"
"138133","104.7","118.7"
"138352","104.7","118.6"
"138562","104.7","118.7"
"138783","104.7","118.7"
"139002","104.9","118.8"
"139223","105","118.9"
"139443","104.9","118.9"
"139661","104.9","118.9"
"139868","104.9","118.9"
"140089","106.6","120.5"
"140308","106.6","120.5"
"140533","106.6","120.5"
"140750","106.6","120.5"
"140969","106.6","120.5"
"141188","106.6","120.5"
"141411","106.6","120.5"
"141632","106.6","120.5"
"141845","106.8","120.7"
"142054","106.9","120.7"
"142259","106.9","120.7"
"142477","106.8","120.7"
"142697","108.7","122.5"
"142913","108.7","122.5"
"143121","108.7","122.5"
"143330","108.7","122.5"
"143549","108.7","122.5"
"143769","108.7","122.5"
"143978","108.7","122.5"
"144186","108.7","122.5"
"144406","108.7","122.5"
"144624","108.7","122.7"
"144831","109","122.7"
"145040","109","122.7"
"145261","108.9","122.7"
"145479","110.6","124.4"
"145686","110.6","124.4"
"145895","110.6","124.4"
"146108","110.6","124.4"
"146328","110.6","124.4"
"146548","110.6","124.4"
"146765","110.6","124.4"
